type,capital_open,capital_close,date_open,date_close
LONG,1004448591.5210611,1004526952.1611177,2021-03-30 14:15:00,2021-03-31 09:27:00
LONG,1004526952.1611177,1004622187.9574045,2021-03-31 09:38:00,2021-03-31 09:49:00
LONG,1004622187.9574045,1004675049.5608801,2021-03-31 10:28:00,2021-03-31 10:51:00
LONG,1004675049.5608801,1004887452.6590157,2021-03-31 11:11:00,2021-04-01 09:50:00
LONG,1004887452.6590157,1004970748.4964725,2021-04-02 09:16:00,2021-04-02 09:39:00
LONG,1004970748.4964725,1004746792.8268558,2021-04-02 09:59:00,2021-04-02 13:00:00
SHORT,1004746792.8268558,1005293817.1867607,2021-04-05 09:10:00,2021-04-05 09:35:00
LONG,1005293817.1867607,1005626738.6417347,2021-04-05 09:36:00,2021-04-05 09:48:00
LONG,1005626738.6417347,1005508505.3132693,2021-04-05 10:11:00,2021-04-05 10:40:00
LONG,1005508505.3132693,1005688507.2372355,2021-04-05 10:43:00,2021-04-05 11:09:00
LONG,1005688507.2372355,1005827895.2453688,2021-04-05 13:04:00,2021-04-05 13:44:00
LONG,1005827895.2453688,1006047462.6653289,2021-04-05 14:03:00,2021-04-05 14:28:00
LONG,1006047462.6653289,1006306906.442128,2021-04-06 10:06:00,2021-04-06 10:16:00
LONG,1006306906.442128,1006116658.5665482,2021-04-06 10:39:00,2021-04-07 10:12:00
LONG,1006116658.5665482,1006103019.0265198,2021-04-07 11:14:00,2021-04-07 13:15:00
LONG,1006103019.0265198,1006161648.8025148,2021-04-07 14:05:00,2021-04-07 14:14:00
LONG,1006161648.8025148,1005843618.4087452,2021-04-08 09:38:00,2021-04-09 10:21:00
LONG,1005843618.4087452,1005950725.8557014,2021-04-09 10:54:00,2021-04-09 13:16:00
LONG,1005950725.8557014,1005985336.0983098,2021-04-09 13:31:00,2021-04-09 13:54:00
LONG,1005985336.0983098,1006035639.3574368,2021-04-12 09:20:00,2021-04-12 09:52:00
LONG,1006035639.3574368,1006683247.7510161,2021-04-12 14:07:00,2021-04-13 09:08:00
LONG,1006683247.7510161,1006724768.5386666,2021-04-13 09:17:00,2021-04-13 09:46:00
LONG,1006724768.5386666,1006056995.2208356,2021-04-13 10:26:00,2021-04-13 11:14:00
LONG,1006056995.2208356,1005658657.9333878,2021-04-14 10:38:00,2021-04-14 13:01:00
LONG,1005658657.9333878,1006231422.3438503,2021-04-14 14:21:00,2021-04-15 09:00:00
LONG,1006231422.3438503,1006078161.4885837,2021-04-15 09:24:00,2021-04-15 10:25:00
LONG,1006078161.4885837,1006142808.4556841,2021-04-15 11:18:00,2021-04-15 13:00:00
LONG,1006142808.4556841,1004319345.2968155,2021-04-15 13:08:00,2021-04-16 13:54:00
SHORT,1004319345.2968155,1004808319.1574906,2021-04-19 09:09:00,2021-04-19 09:37:00
LONG,1004808319.1574906,1004842222.7652463,2021-04-19 10:00:00,2021-04-19 10:22:00
LONG,1004842222.7652463,1005119123.0811214,2021-04-19 11:24:00,2021-04-19 13:16:00
LONG,1005119123.0811214,1005258564.2148671,2021-04-20 09:57:00,2021-04-20 10:09:00
LONG,1005258564.2148671,1005436885.680769,2021-04-20 10:25:00,2021-04-20 10:38:00
LONG,1005436885.680769,1005922681.8403262,2021-04-20 10:45:00,2021-04-20 11:13:00
LONG,1005922681.8403262,1005278921.7258428,2021-04-20 13:24:00,2021-04-20 14:22:00
SHORT,1005278921.7258428,1005695804.6145684,2021-04-22 09:30:00,2021-04-22 10:12:00
SHORT,1005695804.6145684,1005737751.476648,2021-04-23 13:04:00,2021-04-23 13:19:00
LONG,1005737751.476648,1005584896.718863,2021-04-26 09:15:00,2021-04-26 09:51:00
LONG,1005584896.718863,1005976693.1580958,2021-04-26 09:53:00,2021-04-26 10:15:00
LONG,1005976693.1580958,1004268430.8489594,2021-04-26 10:40:00,2021-04-27 09:43:00
LONG,1004268430.8489594,1004064611.069501,2021-04-27 10:59:00,2021-04-27 13:00:00
LONG,1004064611.069501,1004288757.385611,2021-04-27 13:27:00,2021-04-27 13:51:00
LONG,1004288757.385611,1004338568.5899216,2021-04-27 14:21:00,2021-04-28 09:29:00
LONG,1004338568.5899216,1004679837.2081429,2021-04-28 10:30:00,2021-04-28 10:58:00
LONG,1004679837.2081429,1003907668.543352,2021-04-28 13:15:00,2021-04-28 13:59:00
LONG,1003907668.543352,1003988043.5840516,2021-04-29 10:03:00,2021-04-29 10:35:00
LONG,1003988043.5840516,1004192257.7027389,2021-04-29 11:14:00,2021-04-29 11:28:00
LONG,1004192257.7027389,1004280078.8660548,2021-04-29 13:07:00,2021-04-29 13:39:00
LONG,1004280078.8660548,1004983838.6916144,2021-04-29 13:45:00,2021-04-29 14:17:00
LONG,1004983838.6916144,1006330262.3703871,2021-05-04 09:01:00,2021-05-04 10:38:00
LONG,1006330262.3703871,1006596906.8508761,2021-05-04 11:23:00,2021-05-04 13:00:00
LONG,1006596906.8508761,1006881109.8985299,2021-05-05 09:01:00,2021-05-05 09:20:00
LONG,1006881109.8985299,1007231995.006074,2021-05-05 10:21:00,2021-05-05 10:37:00
LONG,1007231995.006074,1007642108.2133987,2021-05-05 11:26:00,2021-05-05 13:02:00
LONG,1007642108.2133987,1007390178.9972343,2021-05-05 13:40:00,2021-05-05 14:01:00
LONG,1007390178.9972343,1007151987.9875065,2021-05-05 14:10:00,2021-05-05 14:28:00
LONG,1007151987.9875065,1007312800.1115255,2021-05-06 09:10:00,2021-05-06 10:33:00
SHORT,1007312800.1115255,1007495810.960443,2021-05-06 10:34:00,2021-05-06 10:43:00
LONG,1007495810.960443,1007407888.9720173,2021-05-06 13:01:00,2021-05-06 14:00:00
SHORT,1007407888.9720173,1007643025.9364082,2021-05-06 14:03:00,2021-05-06 14:19:00
LONG,1007643025.9364082,1007773614.1778398,2021-05-06 14:24:00,2021-05-07 09:07:00
LONG,1007773614.1778398,1007760800.3024164,2021-05-07 09:47:00,2021-05-07 10:20:00
SHORT,1007760800.3024164,1005500127.3095225,2021-05-10 09:41:00,2021-05-11 10:11:00
LONG,1005500127.3095225,1005760539.3014083,2021-05-11 10:20:00,2021-05-11 10:33:00
LONG,1005760539.3014083,1006337512.3413914,2021-05-11 10:41:00,2021-05-11 13:04:00
SHORT,1006337512.3413914,1006295737.3518033,2021-05-11 13:05:00,2021-05-11 13:54:00
LONG,1006295737.3518033,1005029527.706334,2021-05-11 13:55:00,2021-05-12 13:01:00
SHORT,1005029527.706334,1005113132.194431,2021-05-12 13:05:00,2021-05-12 13:16:00
LONG,1005113132.194431,1005767786.5395867,2021-05-12 13:30:00,2021-05-12 13:45:00
LONG,1005767786.5395867,1006529877.1458328,2021-05-12 14:05:00,2021-05-12 14:11:00
LONG,1006529877.1458328,1006605204.1656294,2021-05-13 09:00:00,2021-05-13 09:17:00
LONG,1006605204.1656294,1006980595.6091719,2021-05-13 09:35:00,2021-05-13 09:51:00
LONG,1006980595.6091719,1006515947.5545517,2021-05-13 10:03:00,2021-05-13 13:19:00
SHORT,1006515947.5545517,1006466874.2257159,2021-05-14 09:05:00,2021-05-14 13:12:00
LONG,1006466874.2257159,1007076521.481555,2021-05-14 13:13:00,2021-05-17 09:04:00
SHORT,1007076521.481555,1007682396.6385636,2021-05-17 09:05:00,2021-05-17 11:00:00
SHORT,1007682396.6385636,1007530340.7586218,2021-05-18 09:47:00,2021-05-18 11:03:00
LONG,1007530340.7586218,1007282918.3838965,2021-05-18 11:04:00,2021-05-18 13:42:00
SHORT,1007282918.3838965,1007409828.2556323,2021-05-18 13:58:00,2021-05-18 14:18:00
LONG,1007409828.2556323,1007638768.4111859,2021-05-19 09:30:00,2021-05-19 09:44:00
LONG,1007638768.4111859,1007699377.1638333,2021-05-19 10:15:00,2021-05-19 10:30:00
LONG,1007699377.1638333,1008044344.8162893,2021-05-19 11:02:00,2021-05-19 11:06:00
LONG,1008044344.8162893,1008232931.8576087,2021-05-20 09:36:00,2021-05-20 09:54:00
LONG,1008232931.8576087,1008048717.5369152,2021-05-20 10:41:00,2021-05-20 11:04:00
SHORT,1008048717.5369152,1007800390.8969995,2021-05-20 13:09:00,2021-05-21 09:11:00
LONG,1007800390.8969995,1007966833.6890883,2021-05-21 09:34:00,2021-05-21 09:45:00
LONG,1007966833.6890883,1008076092.5807316,2021-05-21 09:58:00,2021-05-21 10:46:00
SHORT,1008076092.5807316,1007921420.6496774,2021-05-21 10:47:00,2021-05-21 13:30:00
LONG,1007921420.6496774,1008230748.0117451,2021-05-21 13:37:00,2021-05-21 14:05:00
LONG,1008230748.0117451,1008119282.4618276,2021-05-24 10:15:00,2021-05-24 11:08:00
LONG,1008119282.4618276,1008100150.3745103,2021-05-24 13:21:00,2021-05-24 13:37:00
LONG,1008100150.3745103,1008507026.0427251,2021-05-24 14:05:00,2021-05-24 14:15:00
LONG,1008507026.0427251,1008657771.3034599,2021-05-25 09:32:00,2021-05-25 09:44:00
LONG,1008657771.3034599,1008815539.8964323,2021-05-25 09:56:00,2021-05-25 10:19:00
LONG,1008815539.8964323,1008944775.6288797,2021-05-25 10:59:00,2021-05-25 11:18:00
LONG,1008944775.6288797,1009227828.0093728,2021-05-25 14:13:00,2021-05-26 09:01:00
LONG,1009227828.0093728,1009342011.4868251,2021-05-26 10:14:00,2021-05-26 10:28:00
LONG,1009342011.4868251,1009400067.8880402,2021-05-26 10:56:00,2021-05-26 11:09:00
LONG,1009400067.8880402,1009360154.0456055,2021-05-26 11:13:00,2021-05-26 13:12:00
LONG,1009360154.0456055,1009571893.2637416,2021-05-26 14:01:00,2021-05-26 14:12:00
LONG,1009571893.2637416,1009643494.1072356,2021-05-27 09:20:00,2021-05-27 09:24:00
LONG,1009643494.1072356,1009638627.6853814,2021-05-27 09:38:00,2021-05-27 10:03:00
LONG,1009638627.6853814,1009668494.5407684,2021-05-27 10:27:00,2021-05-27 10:38:00
LONG,1009668494.5407684,1008857395.8052214,2021-05-27 10:47:00,2021-05-28 10:20:00
SHORT,1008857395.8052214,1007663965.7465662,2021-05-28 10:21:00,2021-05-31 09:43:00
LONG,1007663965.7465662,1007742191.9269243,2021-05-31 09:53:00,2021-05-31 10:37:00
SHORT,1007742191.9269243,1007716607.6939744,2021-05-31 10:38:00,2021-05-31 11:07:00
LONG,1007716607.6939744,1008527453.8874338,2021-05-31 13:05:00,2021-05-31 13:16:00
LONG,1008527453.8874338,1008823476.3844059,2021-05-31 14:13:00,2021-05-31 14:25:00
LONG,1008823476.3844059,1008907312.1303657,2021-06-01 09:34:00,2021-06-01 09:56:00
LONG,1008907312.1303657,1009236126.0519304,2021-06-01 10:13:00,2021-06-01 10:20:00
LONG,1009236126.0519304,1009190835.4823085,2021-06-01 10:59:00,2021-06-02 10:07:00
LONG,1009190835.4823085,1009071088.3629947,2021-06-02 10:25:00,2021-06-02 11:13:00
LONG,1009071088.3629947,1009433364.3229148,2021-06-02 11:19:00,2021-06-03 09:09:00
LONG,1009433364.3229148,1009557616.8995416,2021-06-03 09:28:00,2021-06-03 10:00:00
LONG,1009557616.8995416,1009573148.5551863,2021-06-03 11:09:00,2021-06-03 11:29:00
LONG,1009573148.5551863,1010026352.0830529,2021-06-03 13:13:00,2021-06-03 13:29:00
LONG,1010026352.0830529,1010270501.7572929,2021-06-03 13:43:00,2021-06-03 14:18:00
LONG,1010270501.7572929,1010346240.2079654,2021-06-04 10:18:00,2021-06-04 10:42:00
LONG,1010346240.2079654,1010361652.042111,2021-06-04 10:49:00,2021-06-04 13:56:00
LONG,1010361652.042111,1010350250.6826124,2021-06-04 14:25:00,2021-06-07 09:35:00
LONG,1010350250.6826124,1009459219.3922185,2021-06-07 09:54:00,2021-06-08 09:28:00
LONG,1009459219.3922185,1008894246.2283058,2021-06-08 10:04:00,2021-06-08 11:07:00
SHORT,1008894246.2283058,1009259985.2528968,2021-06-09 09:08:00,2021-06-09 09:28:00
SHORT,1009259985.2528968,1008941520.9752882,2021-06-09 10:21:00,2021-06-09 11:01:00
LONG,1008941520.9752882,1009131677.0230799,2021-06-09 11:05:00,2021-06-09 11:20:00
LONG,1009131677.0230799,1009493737.7125791,2021-06-09 13:18:00,2021-06-09 13:21:00
LONG,1009493737.7125791,1009413011.3320773,2021-06-09 14:09:00,2021-06-10 09:17:00
LONG,1009413011.3320773,1009325302.3471025,2021-06-10 09:32:00,2021-06-10 09:54:00
LONG,1009325302.3471025,1008816288.5604392,2021-06-10 10:22:00,2021-06-10 13:21:00
SHORT,1008816288.5604392,1008610166.9054431,2021-06-10 13:22:00,2021-06-10 13:34:00
